algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,2.881238,0.005502,0.093676
P256,3.555055,0.004022,0.080402
P256,3.425860,0.005506,0.078951
P256,3.103777,0.006032,0.267030
P256,3.962032,0.008356,0.111396
P256,3.954332,0.006818,0.313621
P256,2.926951,0.005296,0.084679
P256,3.558159,0.007624,0.648980
P256,3.764852,0.005871,0.511250
P256,3.349865,0.005676,0.080347
P256,3.037294,0.005750,0.081627
P256,2.947596,0.005531,0.083376
P256,3.265648,0.005771,0.413647
P256,3.390220,0.005566,0.089192
P256,3.328567,0.005703,0.088219
P256,2.894831,0.006245,0.082501
P256,3.384990,0.005111,0.084989
P256,3.468631,0.007332,0.615263
P256,2.908513,0.005119,0.101121
P256,2.938453,0.007524,0.074507
P256,3.517874,0.005701,0.078247
P256,3.611856,0.005591,0.084032
P256,3.788851,0.005931,0.084380
P256,2.906815,0.005606,0.094701
P256,3.087428,0.006014,0.074343
P256,2.891444,0.005797,0.080992
P256,3.531199,0.007027,0.091489
P256,3.587211,0.021862,0.076287
P256,3.510972,0.006583,0.086655
P256,2.971541,0.005942,0.083095
P256,3.218616,0.007206,0.293876
P256,3.150081,0.005897,0.257243
P256,3.928555,0.005891,0.085378
P256,3.898797,0.005548,0.079809
P256,3.540069,0.006153,0.580341
P256,3.338112,0.005825,0.075735
P256,2.942068,0.005706,0.076142
P256,2.938334,0.005008,0.100261
P256,2.924337,0.005972,0.102221
P256,2.957212,0.005826,0.077682
P256,3.441722,0.005132,0.081899
P256,3.151790,0.005696,0.285225
P256,2.958156,0.005996,0.078739
P256,3.918960,0.005121,0.084453
P256,3.368339,0.005604,0.083640
P256,3.030154,0.006332,0.079228
P256,3.577478,0.005848,0.291999
P256,3.385219,0.006751,0.078105
P256,3.617779,0.008206,0.078940
P256,3.572044,0.006192,0.101072
P256,4.049373,0.005372,0.101397
P256,3.188535,0.005502,0.310218
P256,3.710553,0.007117,0.338863
P256,4.010035,0.005370,0.084409
P256,3.301306,0.005937,0.451816
P256,3.396628,0.006272,0.072512
P256,2.858491,0.005208,0.092151
P256,3.399733,0.005904,0.090668
P256,3.382854,0.005313,0.085104
P256,2.968514,0.005468,0.088627
P256,2.905578,0.005469,0.074336
P256,3.348606,0.006030,0.083001
P256,3.432737,0.004911,0.080637
P256,3.403384,0.005952,0.078389
P256,2.917328,0.005423,0.073262
P256,2.926880,0.005360,0.080602
P256,3.402818,0.005387,0.082797
P256,3.593671,0.004955,0.085193
P256,3.534117,0.005480,0.084657
P256,3.574339,0.006705,0.274060
P256,3.521764,0.010092,0.389806
P256,3.414919,0.003802,0.087600
P256,2.922058,0.005530,0.079443
P256,3.602520,0.005214,0.077892
P256,2.879500,0.003891,0.089746
P256,3.424302,0.005656,0.554491
P256,3.977819,0.005894,0.084996
P256,3.046288,0.005444,0.077438
P256,4.341349,0.006987,0.078308
P256,2.984127,0.005959,0.105318
P256,2.898828,0.005164,0.084155
P256,3.364664,0.006197,0.104463
P256,3.586374,0.005259,0.084153
P256,3.148752,0.006591,0.097388
P256,3.169528,0.004131,0.275908
P256,3.100688,0.005346,0.084889
P256,4.015976,0.007617,0.622953
P256,3.215804,0.006815,0.339300
P256,2.913171,0.005275,0.074131
P256,3.063326,0.021568,0.130035
P256,3.950959,0.005693,0.101035
P256,3.257517,0.006305,0.419605
P256,3.194644,0.005752,0.272793
P256,2.903470,0.006322,0.101529
P256,3.674020,0.005528,0.082678
P256,3.111426,0.005684,0.287726
P256,3.339511,0.005616,0.515088
P256,3.297594,0.005588,0.406856
P256,3.346480,0.005393,0.089651
P256,2.921309,0.005081,0.074979
P256,3.358893,0.004775,0.078490
P256,3.551009,0.008199,0.642311
P256,3.168271,0.006002,0.288808
P256,3.229883,0.005417,0.386573
P256,4.104782,0.006034,0.081692
P256,3.806473,0.005944,0.081966
P256,2.916414,0.007836,0.095177
P256,2.932091,0.007086,0.078157
P256,2.976116,0.006581,0.083194
P256,2.892769,0.005397,0.069796
P256,4.168618,0.005655,0.078593
P256,4.089452,0.006091,0.083630
P256,2.942413,0.005051,0.088715
P256,3.817756,0.005464,0.083900
P256,3.404262,0.005327,0.083574
P256,3.731239,0.006721,0.101283
P256,3.478220,0.005256,0.080048
P256,3.439602,0.006892,0.454361
P256,3.869609,0.007991,0.097350
P256,3.442675,0.005510,0.083503
P256,2.947536,0.006255,0.073610
P256,3.588164,0.006477,0.074843
P256,3.820172,0.005630,0.081073
P256,2.896624,0.005440,0.075416
P256,3.890938,0.005646,0.084687
P256,3.326553,0.004720,0.363092
P256,2.913294,0.005662,0.083485
P256,2.885720,0.005900,0.081866
P256,3.544116,0.006062,0.117855
P256,3.438956,0.005679,0.090121
P256,3.414751,0.005753,0.099187
P256,3.201481,0.006002,0.074578
P256,2.991647,0.005753,0.085055
P256,2.904529,0.005359,0.084035
P256,3.580096,0.004373,0.079303
P256,2.919551,0.005913,0.101820
P256,2.891257,0.005251,0.087464
P256,2.971811,0.004960,0.097484
P256,3.424313,0.005244,0.544223
P256,3.285442,0.006796,0.105004
P256,3.741268,0.006765,0.300444
P256,2.923712,0.005138,0.084811
P256,3.442666,0.005179,0.083451
P256,3.536541,0.005289,0.090606
P256,3.122756,0.005341,0.288579
P256,3.780830,0.004059,0.085322
P256,4.054416,0.005367,0.083251
P256,2.957608,0.007017,0.091296
P256,2.903698,0.006326,0.072923
P256,3.422179,0.006054,0.085785
P256,3.437991,0.006859,0.082817
P256,3.540208,0.005209,0.086314
P256,3.659364,0.005831,0.080208
P256,3.201608,0.006221,0.317624
P256,3.415144,0.005368,0.081097
P256,2.946387,0.005547,0.091469
P256,3.715977,0.003931,0.086028
P256,2.931018,0.005289,0.089106
P256,3.197796,0.006115,0.329704
P256,3.321257,0.005642,0.104472
P256,3.292797,0.005504,0.434796
P256,3.371392,0.007911,0.258775
P256,3.137011,0.006663,0.295181
P256,3.667512,0.005288,0.092275
P256,3.873150,0.005967,0.085588
P256,2.936247,0.006071,0.079634
P256,2.926022,0.005817,0.087227
P256,2.913497,0.006071,0.085866
P256,2.931764,0.005684,0.073439
P256,2.880256,0.005274,0.088911
P256,3.844039,0.005463,0.082279
P256,3.224099,0.006490,0.365491
P256,4.078582,0.005874,0.081008
P256,3.289041,0.007710,0.374425
P256,3.136895,0.006893,0.281649
P256,3.577948,0.004044,0.085194
P256,3.299695,0.005969,0.100782
P256,2.865541,0.005535,0.074376
