algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,97.516050,0.005990,0.157262
P256,98.022006,0.007970,0.146302
P256,97.311298,0.015180,0.130122
P256,99.149873,0.008620,0.150161
P256,98.695119,0.008580,0.178202
P256,97.964224,0.007980,0.139861
P256,98.782103,0.007950,0.164291
P256,97.731941,0.008620,0.186902
P256,97.353837,0.008040,0.204612
P256,98.321194,0.009780,0.144982
P256,99.137963,0.011110,0.172842
P256,97.610840,0.007950,0.224843
P256,97.812169,0.008510,0.164322
P256,97.897023,0.010290,0.175902
P256,96.887371,0.014370,0.189492
P256,97.656719,0.009410,0.237302
P256,98.298507,0.009170,0.231003
P256,98.681538,0.008750,0.205922
P256,98.264086,0.008380,0.177762
P256,97.120294,0.008540,0.171822
P256,97.712879,0.012380,0.172441
P256,97.549906,0.007840,0.206532
P256,98.404778,0.005540,0.362164
P256,97.421577,0.010950,0.186042
P256,96.615475,0.006500,0.137522
P256,97.369164,0.009000,0.172082
P256,97.006351,0.007840,0.184732
P256,97.224082,0.009650,0.178722
P256,97.934652,0.010290,0.184772
P256,98.126893,0.022780,0.163862
P256,97.773620,0.010680,0.162982
P256,97.087670,0.008060,0.184992
P256,97.681359,0.008860,0.169652
P256,98.997494,0.008481,0.176862
P256,97.963972,0.006470,0.211963
P256,98.698190,0.009741,0.199502
P256,97.692708,0.031430,0.197893
P256,96.554025,0.009880,0.189892
P256,97.040651,0.006000,0.142312
P256,97.399144,0.006230,0.153131
P256,99.201236,0.011360,0.172582
P256,97.294255,0.009540,0.180992
P256,97.283844,0.010110,0.190292
P256,97.193383,0.008840,0.188212
P256,98.245784,0.009160,0.195502
P256,96.956129,0.008440,0.151101
P256,97.098031,0.009800,0.174502
P256,97.746528,0.010190,0.204762
P256,97.840530,0.012690,0.181812
P256,97.287534,0.010501,0.184272
P256,97.799889,0.008730,0.167282
P256,98.513526,0.014450,0.215391
P256,97.090171,0.010190,0.181142
P256,97.538105,0.008710,0.189392
P256,97.686668,0.009621,0.431014
P256,97.147391,0.008530,0.173822
P256,96.927570,0.009420,0.217292
P256,98.336734,0.008750,0.178172
P256,97.244712,0.008670,0.168902
P256,97.594686,0.010401,0.192302
P256,97.702067,0.008900,0.188122
P256,97.337813,0.009601,0.191632
P256,97.267083,0.012570,0.425764
P256,96.845267,0.008400,0.166612
P256,97.422865,0.011500,0.167842
P256,98.188613,0.010070,0.180362
P256,97.412185,0.009791,0.185922
P256,97.839089,0.008291,0.395264
P256,97.923489,0.010030,0.193192
P256,96.794225,0.014650,0.165541
P256,98.334164,0.010250,0.162932
P256,98.338174,0.010660,0.396604
P256,97.378865,0.022760,0.207583
P256,97.305902,0.008320,0.158262
P256,97.517455,0.008440,0.176902
P256,97.484775,0.008760,0.180432
P256,97.316800,0.007371,0.169101
P256,98.285024,0.007501,0.195042
P256,97.840490,0.006870,0.123442
